,4/7/20,4/8/20,4/9/20
Keokuk County Health Center,0.0,0.0,NA
Kern Medical (FKA Kern Medical Center),3.0,3.0,NA
Kern Valley Healthcare District,2.0,2.0,NA
Kerrville State Hospital,0.0,0.0,NA
KershawHealth Medical Center,3.0,3.0,NA
Kessler Institute for Rehabilitation - Marlton (FKA Marlton Rehabilitation Hospital),0.0,0.0,NA
Kessler Institute for Rehabilitation - West Orange,0.0,0.0,NA
Kettering Behavioral Medicine Center,0.0,0.0,NA
Kettering Medical Center,9.0,9.0,NA
KidsPeace Childrens Hospital - Kidspeace Orchard Hills Campus,0.0,0.0,NA
Kimball Health Services,0.0,0.0,NA
Kimble Hospital,0.0,0.0,NA
Kindred - Chicago Central Hospital,4.0,4.0,NA
Kindred Hospital - Albuquerque,2.0,2.0,NA
Kindred Hospital - Bay Area Tampa,5.0,5.0,NA
Kindred Hospital - Brea,2.0,2.0,NA
Kindred Hospital - Central Tampa,3.0,3.0,NA
Kindred Hospital - Chattanooga,3.0,3.0,NA
Kindred Hospital - Chicago Northlake Campus,4.0,4.0,NA
Kindred Hospital - Dayton,3.0,3.0,NA
Kindred Hospital - Denver,2.0,2.0,NA
Kindred Hospital - Greensboro,3.0,3.0,NA
Kindred Hospital - Indianapolis,2.0,2.0,NA
Kindred Hospital - La Mirada,6.0,6.0,NA
Kindred Hospital - Las Vegas Sahara,4.0,4.0,NA
Kindred Hospital - Los Angeles,4.0,4.0,NA
Kindred Hospital - Louisville,6.0,6.0,NA
Kindred Hospital - Mansfield,2.0,2.0,NA
Kindred Hospital - North Florida,3.0,3.0,NA
Kindred Hospital - Ontario,5.0,5.0,NA
Kindred Hospital - Paramount (FKA Promise Hospital of East Los Angeles),5.0,5.0,NA
Kindred Hospital - Philadelphia,4.0,4.0,NA
Kindred Hospital - San Antonio,2.0,2.0,NA
Kindred Hospital - San Antonio Central (FKA Select Specialty Hospital - San Antonio),2.0,2.0,NA
Kindred Hospital - San Diego,3.0,3.0,NA
Kindred Hospital - San Francisco Bay Area,3.0,3.0,NA
Kindred Hospital - South Florida Ft Lauderdale,7.0,7.0,NA
Kindred Hospital - St Louis,3.0,3.0,NA
Kindred Hospital - Sycamore,3.0,3.0,NA
Kindred Hospital - Tarrant County Arlington,3.0,3.0,NA
Kindred Hospital - Westminster,4.0,4.0,NA
Kindred Hospital Aurora,2.0,2.0,NA
Kindred Hospital Baldwin Park (FKA Vista Hospital of San Gabriel Valley),4.0,4.0,NA
Kindred Hospital Clear Lake,3.0,3.0,NA
Kindred Hospital Dallas Central,2.0,2.0,NA
Kindred Hospital El Paso,2.0,2.0,NA
Kindred Hospital Houston Medical Center,4.0,4.0,NA
Kindred Hospital Houston Northwest,3.0,3.0,NA
Kindred Hospital Indianapolis North,2.0,2.0,NA
Kindred Hospital Lima,2.0,2.0,NA
Kindred Hospital Melbourne,3.0,3.0,NA
Kindred Hospital New Jersey - Morris County,7.0,7.0,NA
Kindred Hospital Northland,2.0,2.0,NA
Kindred Hospital Northwest Indiana,3.0,3.0,NA
Kindred Hospital Ocala,2.0,2.0,NA
Kindred Hospital Peoria (FKA Greater Peoria Specialty Hospital),2.0,2.0,NA
Kindred Hospital Philadelphia - Havertown,2.0,2.0,NA
Kindred Hospital Rancho (FKA Rancho Specialty Hospital),4.0,4.0,NA
Kindred Hospital Riverside (FKA Vista Hospital of Riverside),3.0,3.0,NA
Kindred Hospital Seattle - First Hill,0.0,0.0,NA
Kindred Hospital South Bay (FKA Vista Hospital of South Bay),3.0,3.0,NA
Kindred Hospital Sugar Land,3.0,3.0,NA
Kindred Hospital the Palm Beaches,3.0,3.0,NA
Kingman Community Hospital,0.0,0.0,NA
Kingman Regional Medical Center,5.0,5.0,NA
Kings Daughters Health,2.0,2.0,NA
Kings Daughters Medical Center,16.0,16.0,NA
Kings Daughters Medical Center Ohio,0.0,0.0,NA
Kingsboro Psychiatric Center,0.0,0.0,NA
Kingsbrook Jewish Medical Center,8.0,8.0,NA
Kingwood Emergency Hospital,0.0,0.0,NA
Kingwood Medical Center (AKA HCA Houston Healthcare Kingwood),17.0,17.0,NA
Kingwood Pines Hospital,2.0,2.0,NA
Kiowa County District Hospital,0.0,0.0,NA
Kiowa County Memorial Hospital,0.0,0.0,NA
Kiowa District Hospital,0.0,0.0,NA
Kirby Forensic Psychiatric Center,0.0,0.0,NA
Kirby Medical Center (AKA John & Mary Kirby Hospital),1.0,1.0,NA
Kirkbride Center,0.0,0.0,NA
Kit Carson County Memorial Hospital,0.0,0.0,NA
Kittitas Valley Healthcare (FKA Kittitas Valley Community Hospital),2.0,2.0,NA
Kittson Memorial Healthcare Center,0.0,0.0,NA
Klickitat Valley Hospital,1.0,1.0,NA
Knapp Medical Center,7.0,7.0,NA
Knox Community Hospital,2.0,2.0,NA
Knox County Hospital,2.0,2.0,NA
Knoxville Hospital & Clinics,1.0,1.0,NA
Kohala Hospital,0.0,0.0,NA
Kona Community Hospital,3.0,3.0,NA
Kootenai Health (AKA Kootenai Hospital),7.0,7.0,NA
Kosciusko Community Hospital,3.0,3.0,NA
Kossuth Regional Health Center,2.0,2.0,NA
Kuakini Medical Center (AKA Kuakini Health System),3.0,3.0,NA
Kula Hospital,0.0,0.0,NA
Kyle ER & Hospital,NA,NA,NA
LA Downtown Medical Center - Downtown Campus (FKA Silver Lake Medical Center - Downtown Campus),2.0,2.0,NA
LAC & USC Medical Center,8.0,8.0,NA
LBJ Tropical Medical Center,2.0,2.0,NA
LDS Hospital,2.0,2.0,NA
La Palma Intercommunity Hospital,4.0,4.0,NA
La Paz Regional Hospital,2.0,2.0,NA
La Porte Hospital,3.0,3.0,NA
La Rabida Childrens Hospital,2.0,2.0,NA
LaFollette Medical Center (FKA St Marys Medical Center of Campbell County),2.0,2.0,NA
LaSalle General Hospital,2.0,2.0,NA
Labette Health,2.0,2.0,NA
Lackey Memorial Hospital,0.0,0.0,NA
Lady of the Sea General Hospital,2.0,2.0,NA
Lafayette General Medical Center,12.0,12.0,NA
Lafayette General Surgical Hospital,1.0,1.0,NA
Lafayette Physical Rehabilitation Hospital,2.0,2.0,NA
Lafayette Regional Health Center,2.0,2.0,NA
Lafayette Regional Rehabilitation Hospital,2.0,2.0,NA
Lafayette Surgical Specialty Hospital,0.0,0.0,NA
Laguna Honda Hospital and Rehabilitation Center,0.0,0.0,NA
Laguna Treatment Hospital,0.0,0.0,NA
Lahey Hospital & Medical Center - Burlington (FKA Lahey Clinic Hospital),14.0,14.0,NA
Laird Hospital,1.0,1.0,NA
Lake Behavioral Hospital (FKA Vista Medical Center - West),0.0,0.0,NA
Lake Butler Hospital (FKA Lake Butler Hand Surgery Center),1.0,1.0,NA
Lake Charles Memorial Hospital,5.0,5.0,NA
Lake Chelan Community Hospital,1.0,1.0,NA
Lake City Community Hospital,1.0,1.0,NA
Lake City Medical Center,4.0,4.0,NA
Lake Cumberland Regional Hospital,5.0,5.0,NA
Lake District Hospital,1.0,1.0,NA
Lake Granbury Medical Center,3.0,3.0,NA
Lake Huron Medical Center (FKA St Joseph Mercy Hospital Port Huron),3.0,3.0,NA
Lake Martin Community Hospital,0.0,0.0,NA
Lake Norman Regional Medical Center,4.0,4.0,NA
Lake Region Healthcare Corporation,2.0,2.0,NA
Lake Regional Health System,4.0,4.0,NA
Lake Taylor Transitional Care Hospital,2.0,2.0,NA
Lake View Hospital,1.0,1.0,NA
Lakeland Behavioral Health System,0.0,0.0,NA
Lakeland Community Hospital,2.0,2.0,NA
Lakeland Hospital Watervliet,2.0,2.0,NA
Lakeland Medical Center,13.0,13.0,NA
Lakeland Regional Health Medical Center,23.0,23.0,NA
Lakes Region General Hospital,3.0,3.0,NA
Lakes Regional Healthcare,2.0,2.0,NA
Lakeside Behavioral Health System (FKA Lakeside Hospital),0.0,0.0,NA
Lakeside Medical Center,2.0,2.0,NA
Lakeside Womens Hospital,1.0,1.0,NA
Lakeview Behavioral Health,0.0,0.0,NA
Lakeview Hospital,2.0,2.0,NA
Lakeview Specialty Hospital & Rehab,2.0,2.0,NA
Lakewood Health System,1.0,1.0,NA
Lakewood Ranch Medical Center,5.0,5.0,NA
Lakewood Regional Medical Center,6.0,6.0,NA
Lallie Kemp Regional Medical Center (AKA LSU Health),1.0,1.0,NA
Lamb Healthcare Center,0.0,0.0,NA
Lanai Community Hospital,0.0,0.0,NA
Lancaster Behavioral Health Hospital,0.0,0.0,NA
Lancaster General Hospital,14.0,14.0,NA
Lancaster Medical Center (FKA Springs Memorial Hospital),4.0,4.0,NA
Lancaster Rehabilitation Hospital,0.0,0.0,NA
Landmann-Jungman Memorial Hospital Avera,0.0,0.0,NA
Landmark Hospital of Athens,3.0,3.0,NA
Landmark Hospital of Cape Girardeau,2.0,2.0,NA
Landmark Hospital of Columbia,2.0,2.0,NA
Landmark Hospital of Joplin,2.0,2.0,NA
Landmark Hospital of Savannah,2.0,2.0,NA
Landmark Hospital of Southwest Florida,2.0,2.0,NA
Landmark Medical Center,6.0,6.0,NA
Lane County Hospital,0.0,0.0,NA
Lane Regional Medical Center,4.0,4.0,NA
Lankenau Medical Center,10.0,10.0,NA
Laredo Medical Center,9.0,9.0,NA
Laredo Rehabilitation Hospital,2.0,2.0,NA
Laredo Specialty Hospital,3.0,3.0,NA
Largo Medical Center,10.0,10.0,NA
Larkin Community Hospital - Behavioral Health Services,0.0,0.0,NA
Larkin Community Hospital - Palm Springs Campus (FKA Palm Springs General Hospital),4.0,4.0,NA
Larkin Community Hospital - South Miami Campus,2.0,2.0,NA
Larned State Hospital,0.0,0.0,NA
Las Encinas Hospital,0.0,0.0,NA
Las Palmas Medical Center,12.0,12.0,NA
Lasting Hope Recovery Center,1.0,1.0,NA
Lauderdale Community Hospital (FKA Baptist Memorial Hospital Lauderdale),0.0,0.0,NA
Laureate Psychiatric Clinic and Hospital,2.0,2.0,NA
Laurel Oaks Behavioral Health Center,0.0,0.0,NA
Laurel Ridge Treatment Center,2.0,2.0,NA
Laurens County Hospital,3.0,3.0,NA
Lavaca Medical Center,2.0,2.0,NA
Lawnwood Regional Medical Center & Heart Institute,12.0,12.0,NA
Lawrence & Memorial Hospital,7.0,7.0,NA
Lawrence County Hospital,0.0,0.0,NA
Lawrence County Memorial Hospital,1.0,1.0,NA
Lawrence General Hospital,5.0,5.0,NA
Lawrence Medical Center,2.0,2.0,NA
Lawrence Memorial Hospital,2.0,2.0,NA
Lawrence Memorial Hospital (AKA LMH Health),3.0,3.0,NA
Lawton Indian Hospital,0.0,0.0,NA
Layton Hospital,1.0,1.0,NA
LeConte Medical Center,3.0,3.0,NA
Lea Regional Medical Center,2.0,2.0,NA
Leahi Hospital,0.0,0.0,NA
Lebanon VA Medical Center,2.0,2.0,NA
Lee Memorial Hospital,40.0,40.0,NA
Lees Summit Medical Center,3.0,3.0,NA
Legacy Emanuel Medical Center,6.0,6.0,NA
Legacy Good Samaritan Medical Center,3.0,3.0,NA
Legacy Meridian Park Medical Center,2.0,2.0,NA
Legacy Mount Hood Medical Center,2.0,2.0,NA
Legacy Salmon Creek Medical Center,6.0,6.0,NA
Legacy Silverton Medical Center (AKA Silverton Hospital),2.0,2.0,NA
Legent Hospital (FKA Foundation Surgical Hospital of El Paso),1.0,1.0,NA
Legent Hospital for Special Surgery (FKA Star Medical Center),0.0,0.0,NA
Legent Orthopedic and Spine (FKA Cumberland Surgical Hospital),1.0,1.0,NA
Lehigh Regional Medical Center,4.0,4.0,NA
Lehigh Valley Hospital - Cedar Crest,22.0,22.0,NA
Lehigh Valley Hospital - Hazleton (FKA Hazleton General Hospital),4.0,4.0,NA
Lehigh Valley Hospital - Muhlenberg,5.0,5.0,NA
Lehigh Valley Hospital - Pocono (FKA Pocono Medical Center),6.0,6.0,NA
Lehigh Valley Hospital - Schuylkill E Norwegian Street (FKA Schuylkill Medical Center - E Norwegian Street),6.0,6.0,NA
Lehigh Valley Hospital - Schuylkill S Jackson Street (FKA Schuylkill Medical Center - S Jackson Street),6.0,6.0,NA
Lemuel Shattuck Hospital,1.0,1.0,NA
Lenox Hill Hospital,14.0,14.0,NA
Leonard J Chabert Medical Center,2.0,2.0,NA
Levi Hospital (AKA Leo N Levi National Arthritis Hospital),0.0,0.0,NA
Levindale Hebrew Geriatric Center & Hospital,3.0,3.0,NA
Lewis County General Hospital,2.0,2.0,NA
LewisGale Hospital Alleghany,2.0,2.0,NA
LewisGale Hospital Montgomery,3.0,3.0,NA
LewisGale Hospital Pulaski,2.0,2.0,NA
LewisGale Medical Center,10.0,10.0,NA
Lexington Medical Center,22.0,22.0,NA
Lexington Regional Health Center,1.0,1.0,NA
Lexington VA Medical Center - Leestown Division (AKA Lexington VA Health Care System - Franklin R Sousley Campus),2.0,2.0,NA
Libertas Treatment Center - Green Bay,0.0,0.0,NA
Liberty - Dayton Community Hospital (AKA Liberty Dayton Regional Medical Center),2.0,2.0,NA
Liberty Hospital,6.0,6.0,NA
Liberty Medical Center (FKA Liberty County Hospital),0.0,0.0,NA
Liberty Regional Medical Center,2.0,2.0,NA
Licking Memorial Hospital,8.0,8.0,NA
LifeBrite Community Hospital of Early (FKA Pioneer Community Hospital of Early),1.0,1.0,NA
LifeBrite Community Hospital of Stokes (FKA Pioneer Community Hospital of Stokes),1.0,1.0,NA
LifeCare Behavioral Health Hospital of Pittsburgh,1.0,1.0,NA
LifeCare Hospitals of Dallas,7.0,7.0,NA
LifeCare Hospitals of Pittsburgh - Alle-Kiski Campus,0.0,0.0,NA
LifeCare Medical Center,2.0,2.0,NA
LifeStream Behavioral Center,0.0,0.0,NA
Lifescape (FKA Childrens Care Hospital),0.0,0.0,NA
Lifeways Hospital Boise (FKA Safe Haven Hospital of Treasure Valley),0.0,0.0,NA
Lighthouse Behavioral Health Hospital,0.0,0.0,NA
Lillian M Hudspeth Memorial Hospital,0.0,0.0,NA
Lima Memorial Health System,4.0,4.0,NA
Limestone Medical Center,2.0,2.0,NA
Lincoln Community Hospital,0.0,0.0,NA
Lincoln County Hospital,1.0,1.0,NA
Lincoln County Medical Center,2.0,2.0,NA
Lincoln Hospital,1.0,1.0,NA
Lincoln Medical Center (AKA Lincoln Health System),2.0,2.0,NA
Lincoln Prairie Behavioral Health Center,0.0,0.0,NA
Lincoln Regional Center,0.0,0.0,NA
Lincoln Surgical Hospital,0.0,0.0,NA
Lincoln Trail Behavioral Health System,0.0,0.0,NA
LincolnHealth - Miles Campus and Hospital (FKA Miles Memorial Hospital),0.0,0.0,NA
Linden Oaks Behavioral Health,0.0,0.0,NA
Lindner Center of HOPE,0.0,0.0,NA
Lindsay Municipal Hospital,1.0,1.0,NA
Lindsborg Community Hospital,0.0,0.0,NA
Linton Hospital - CAH,0.0,0.0,NA
Little Colorado Medical Center,2.0,2.0,NA
Little Falls Hospital,2.0,2.0,NA
Little River Memorial Hospital,1.0,1.0,NA
Littleton Adventist Hospital,4.0,4.0,NA
Littleton Regional Healthcare,2.0,2.0,NA
Livingston HealthCare,2.0,2.0,NA
Livingston Hospital and Healthcare,2.0,2.0,NA
Livingston Regional Hospital,2.0,2.0,NA
Logan County Hospital,0.0,0.0,NA
Logan Memorial Hospital,2.0,2.0,NA
Logan Regional Hospital,2.0,2.0,NA
Logan Regional Medical Center,3.0,3.0,NA
Logansport Memorial Hospital,3.0,3.0,NA
Logansport State Hospital,0.0,0.0,NA
Loma Linda University Behavioral Medicine Center,0.0,0.0,NA
Loma Linda University Childrens Hospital,2.0,2.0,NA
Loma Linda University Medical Center,28.0,28.0,NA
Loma Linda University Medical Center Murrieta,6.0,6.0,NA
Lompoc Valley Medical Center Hospital,3.0,3.0,NA
Lone Peak Hospital,2.0,2.0,NA
Lone Star Behavioral Health,0.0,0.0,NA
Lonesome Pine Hospital (FKA Wellmont Lonesome Pine Hospital),3.0,3.0,NA
Long Beach Medical Center (FKA Long Beach Memorial Medical Center),16.0,16.0,NA
Long Island Community Hospital (FKA Brookhaven Memorial Hospital Medical Center),19.0,19.0,NA
Long Island Jewish Medical Center,35.0,35.0,NA
Longleaf Hospital (FKA Crossroads Regional Hospital),0.0,0.0,NA
Longmont United Hospital,2.0,2.0,NA
Longview Regional Medical Center,7.0,7.0,NA
Loring Hospital,1.0,1.0,NA
Los Alamitos Medical Center,6.0,6.0,NA
Los Alamos Medical Center,2.0,2.0,NA
Los Angeles Community Hospital,3.0,3.0,NA
Los Angeles Community Hospital at Bellflower (FKA Bellflower Medical Center),0.0,0.0,NA
Los Angeles Convention Center Field Hospital (Temporarily Open due to COVID-19),NA,NA,NA
Los Angeles Jewish Home - Grancell Village (FKA Joyce Eisenberg Keefer Medical Center),0.0,0.0,NA
Los Robles Health System - Los Robles Regional Medical Center,9.0,9.0,NA
Lost Rivers Medical Center,0.0,0.0,NA
Louis A Johnson VA Medical Center (AKA Clarksburg VA Medical Center),0.0,0.0,NA
Louisiana Extended Care Hospital of Lafayette,4.0,4.0,NA
Louisiana Extended Care of Natchitoches,2.0,2.0,NA
Louisiana Extended Care of West Monroe,3.0,3.0,NA
Louisville VA Medical Center (AKA Robley Rex VA Medical Center),0.0,0.0,NA
Lourdes Medical Center (FKA Lourdes Health),2.0,2.0,NA
Lovelace Medical Center,9.0,9.0,NA
Lovelace Regional Hospital (FKA Roswell Regional Hospital),2.0,2.0,NA
Lovelace UNM Rehabilitation Hospital (FKA Lovelace Rehabilitation Hospital),0.0,0.0,NA
Lovelace Westside Hospital,2.0,2.0,NA
Lovelace Womens Hospital,3.0,3.0,NA
Lowell General Hospital - Main Campus,7.0,7.0,NA
Lower Bucks Hospital,4.0,4.0,NA
Lower Keys Medical Center,2.0,2.0,NA
Lower Umpqua Hospital,2.0,2.0,NA
Loyola University Medical Center,18.0,18.0,NA
Lubbock Heart & Surgical Hospital,2.0,2.0,NA
Lucas County Health Center,2.0,2.0,NA
Lucile Packard Childrens Hospital Stanford (AKA Stanford Childrens Health),5.0,5.0,NA
Lutheran Hospital,12.0,12.0,NA
Lutheran Medical Center (FKA Exempla Lutheran Medical Center),9.0,9.0,NA
Lynn County Hospital,2.0,2.0,NA
Lynn House of Potomac Valley,0.0,0.0,NA
M Health Fairview Bethesda Hospital (FKA Bethesda Hospital),4.0,4.0,NA
M Health Fairview Lakes Medical Center,2.0,2.0,NA
M Health Fairview Northland Medical Center,2.0,2.0,NA
M Health Fairview Ridges Hospital,3.0,3.0,NA
M Health Fairview Southdale Hospital,6.0,6.0,NA
M Health Fairview St Johns Hospital (FKA HealthEast St Johns Hospital),2.0,2.0,NA
M Health Fairview St Josephs Hospital (FKA HealthEast St Josephs Hospital),3.0,3.0,NA
M Health Fairview University of Minnesota Masonic Childrens Hospital,0.0,0.0,NA
M Health Fairview University of Minnesota Medical Center - West Bank Hospital,12.0,12.0,NA
M Health Fairview Woodwinds Hospital (FKA HealthEast - Woodwinds Health Campus),2.0,2.0,NA
MCFP Springfield,0.0,0.0,NA
MISH Hospital and Clinics (AKA Institute for Advanced Bariatric Surgery),0.0,0.0,NA
MUSC Health Chester Medical Center (FKA Chester Regional Medical Center),2.0,2.0,NA
MUSC Shawn Jenkins Childrens Hospital,0.0,0.0,NA
MacNeal Hospital,10.0,10.0,NA
Mackinac Straits Health System,0.0,0.0,NA
Macon County General Hospital (AKA Macon Community Hospital),1.0,1.0,NA
Mad River Community Hospital,2.0,2.0,NA
Madden Mental Health Center,0.0,0.0,NA
Madelia Community Hospital,0.0,0.0,NA
Madera Community Hospital,3.0,3.0,NA
Madigan Army Medical Center,1.0,1.0,NA
Madison County Hospital,2.0,2.0,NA
Madison County Memorial Hospital,0.0,0.0,NA
Madison Healthcare Services (AKA Madison Hospital),0.0,0.0,NA
Madison Hospital,0.0,0.0,NA
Madison Medical Center,0.0,0.0,NA
Madison Memorial Hospital,2.0,2.0,NA
Madison Parish Hospital,2.0,2.0,NA
Madison Regional Health (FKA Madison Community Hospital),1.0,1.0,NA
Madison State Hospital,0.0,0.0,NA
Madison Valley Hospital,0.0,0.0,NA
Madonna Rehabilitation Hospital - Lincoln,2.0,2.0,NA
Madonna Rehabilitation Hospital - Omaha,2.0,2.0,NA
Madonna Rehabilitation Specialty Hospital Lincoln,2.0,2.0,NA
Magee General Hospital,0.0,0.0,NA
Magee Rehabilitation Hospital,0.0,0.0,NA
Magnolia Regional Health Center,4.0,4.0,NA
Magnolia Regional Medical Center,2.0,2.0,NA
Magruder Memorial Hospital,2.0,2.0,NA
Mahaska Health Partnership (FKA Mahaska County Hospital),2.0,2.0,NA
Mahnomen Health Center,0.0,0.0,NA
Maimonides Medical Center,38.0,38.0,NA
Maine Medical Center (AKA MMC - Bramhall),15.0,15.0,NA
Maine VA Medical Center (AKA Togus VA Medical Center),2.0,2.0,NA
MaineGeneral Medical Center - Alfond Center for Health (FKA MaineGeneral Medical Center - Augusta Campus),3.0,3.0,NA
Major Health Partners Medical Center (FKA Major Hospital),4.0,4.0,NA
Malvern Institute - Malvern Addiction Treatment Center,0.0,0.0,NA
Malvern Institute - Willow Grove Addiction Treatment Center,0.0,0.0,NA
Mammoth Hospital,1.0,1.0,NA
Manatee Memorial Hospital,8.0,8.0,NA
Manati Medical Center,3.0,3.0,NA
Manchester Memorial Hospital,2.0,2.0,NA
Manchester VA Medical Center,0.0,0.0,NA
Mangum Regional Medical Center (FKA Quartz Mountain Medical Center),1.0,1.0,NA
Manhattan Psychiatric Center,0.0,0.0,NA
Manhattan Surgical Hospital,0.0,0.0,NA
Maniilaq Health Center,0.0,0.0,NA
Mann-Grandstaff VA Medical Center (AKA Spokane VA Medical Center),0.0,0.0,NA
Manning Regional Healthcare Center,0.0,0.0,NA
Maple Grove Hospital,2.0,2.0,NA
Marcus Daly Memorial Hospital - CAH,2.0,2.0,NA
Margaret Mary Health (FKA Margaret Mary Community Hospital),3.0,3.0,NA
Margaretville Hospital (FKA Margaretville Memorial Hospital),0.0,0.0,NA
Maria Parham Medical Center (AKA Maria Parham Health),6.0,6.0,NA
Marian Center at St Joseph Villa,0.0,0.0,NA
Marian Regional Medical Center,15.0,15.0,NA
Marianjoy Rehabilitation Hospital,0.0,0.0,NA
Marias Medical Center,1.0,1.0,NA
Marie Green Psychiatric Center,0.0,0.0,NA
Marietta Memorial Hospital Campus,9.0,9.0,NA
MarinHealth Medical Center (FKA Marin General Hospital),6.0,6.0,NA
Mariners Hospital,2.0,2.0,NA
Marion General Hospital,7.0,7.0,NA
Marion Medical Center (FKA Carolinas Hospital System - Marion),2.0,2.0,NA
Marion VA Medical Center,2.0,2.0,NA
Mark Twain Medical Center,2.0,2.0,NA
Marlette Regional Hospital,1.0,1.0,NA
Marshall Browning Hospital,1.0,1.0,NA
Marshall County Healthcare Center Avera,0.0,0.0,NA
Marshall County Hospital,2.0,2.0,NA
Marshall Medical Center,4.0,1.0,NA
Marshall Medical Center South,7.0,7.0,NA
Marshfield Medical Center - Eau Claire,2.0,2.0,NA
Marshfield Medical Center - Ladysmith (FKA Rusk County Memorial Hospital),2.0,2.0,NA
Marshfield Medical Center - Marshfield (FKA Ministry Saint Josephs Hospital),6.0,6.0,NA
Marshfield Medical Center - Neillsville,1.0,1.0,NA
Marshfield Medical Center - Rice Lake (FKA Lakeview Medical Center),2.0,2.0,NA
Marshfield Medical Center Beaver Dam (FKA Beaver Dam Community Hospital),2.0,2.0,NA
Marthas Vineyard Hospital,2.0,2.0,NA
Martin Army Community Hospital,0.0,0.0,NA
Martin County Hospital,0.0,0.0,NA
Martin General Hospital,2.0,2.0,NA
Martin Luther King Jr Community Hospital,10.0,10.0,NA
Martinsburg VA Medical Center,2.0,2.0,NA
Mary Breckinridge ARH Hospital,2.0,2.0,NA
Mary Free Bed Rehabilitation Hospital,1.0,1.0,NA
Mary Greeley Medical Center,3.0,3.0,NA
Mary Lanning Memorial Hospital,3.0,3.0,NA
Mary Rutan Hospital,2.0,2.0,NA
Mary Starke Harper Geriatric Psychiatry Center,0.0,0.0,NA
Mary Washington Hospital,17.0,17.0,NA
Marymount Hospital,3.0,3.0,NA
Mason District Hospital,1.0,1.0,NA
Mason General Hospital,2.0,2.0,NA
Masonicare Health Center,0.0,0.0,NA
MassGeneral Hospital for Children,0.0,0.0,NA
Massac Memorial Hospital,2.0,2.0,NA
Massachusetts Eye and Ear,1.0,1.0,NA
Massachusetts General Hospital,34.0,34.0,NA
Massena Memorial Hospital,2.0,2.0,NA
Mat-Su Regional Medical Center,3.0,3.0,NA
Matagorda Regional Medical Center,2.0,2.0,NA
Matheny Medical and Educational Center (FKA Matheny School & Hospital),0.0,0.0,NA
Maui Memorial Medical Center,5.0,5.0,NA
Maury Regional Medical Center,6.0,6.0,NA
Mayaguez Medical Center (AKA Centro Medico De Mayag),3.0,3.0,NA
Mayers Memorial Hospital,1.0,1.0,NA
Mayhill Hospital,0.0,0.0,NA
Mayo Clinic Hospital - Albert Lea,4.0,4.0,NA
Mayo Clinic Hospital - Arizona,13.0,13.0,NA
Mayo Clinic Hospital - Cannon Falls,2.0,2.0,NA
Mayo Clinic Hospital - Chippewa Valley in Bloomer,2.0,2.0,NA
Mayo Clinic Hospital - Eau Claire,17.0,17.0,NA
Mayo Clinic Hospital - Fairmont,2.0,2.0,NA
Mayo Clinic Hospital - Florida,15.0,15.0,NA
Mayo Clinic Hospital - Franciscan Healthcare La Crosse,8.0,8.0,NA
Mayo Clinic Hospital - Franciscan Healthcare in Sparta,2.0,2.0,NA
Mayo Clinic Hospital - Lake City,2.0,2.0,NA
Mayo Clinic Hospital - Mankato,9.0,9.0,NA
Mayo Clinic Hospital - New Prague (FKA Queen of Peace Hospital),2.0,2.0,NA
Mayo Clinic Hospital - Northland in Barron,2.0,2.0,NA
Mayo Clinic Hospital - Oakridge,2.0,2.0,NA
Mayo Clinic Hospital - Red Cedar in Menomonie,2.0,2.0,NA
Mayo Clinic Hospital - Red Wing (FKA Fairview Red Wing Hospital),2.0,2.0,NA
Mayo Clinic Hospital - Saint Marys Campus,61.0,61.0,NA
Mayo Clinic Hospital - St James,1.0,1.0,NA
Mayo Clinic Hospital - Waseca,1.0,1.0,NA
McAlester Regional Health Center,4.0,4.0,NA
McBride Clinic Orthopedic Hospital LLC,1.0,1.0,NA
McCamey Hospital,0.0,0.0,NA
McCone County Health Center,0.0,0.0,NA
McCormick Place Field Hospital (Temporarily Open due to COVID-19),NA,NA,NA
McCullough-Hyde Memorial Hospital,2.0,2.0,NA
McCurtain Memorial Hospital,1.0,1.0,NA
McDonough District Hospital,2.0,2.0,NA
McDowell ARH Hospital,2.0,2.0,NA
McFarland Mental Health Center,0.0,0.0,NA
McGehee Hospital (AKA McGehee-Desha County Hospital),1.0,1.0,NA
McKay-Dee Hospital,3.0,3.0,NA
McKee Medical Center,2.0,2.0,NA
McKenzie County Healthcare System,0.0,0.0,NA
McKenzie Memorial Hospital,2.0,2.0,NA
McKenzie-Willamette Medical Center,2.0,2.0,NA
McLaren Bay Region (FKA Bay Regional Medical Center),8.0,8.0,NA
McLaren Bay Special Care,2.0,2.0,NA
McLaren Caro Region (FKA Caro Community Hospital),0.0,0.0,NA
McLaren Central Michigan (FKA Central Michigan Community Hospital),3.0,3.0,NA
McLaren Flint,12.0,12.0,NA
McLaren Greater Lansing (FKA Ingham Regional Medical Center),6.0,6.0,NA
McLaren Lapeer Region (FKA Lapeer Regional Medical Center),4.0,4.0,NA
McLaren Macomb (AKA Mount Clemens Regional Medical Center),13.0,13.0,NA
McLaren Northern Michigan,6.0,6.0,NA
McLaren Oakland (FKA Pontiac Osteopathic Hospital Medical Center),4.0,4.0,NA
McLaren Port Huron,5.0,5.0,NA
McLaren Thumb Region (FKA Huron Medical Center),2.0,2.0,NA
McLean Hospital,1.0,1.0,NA
McLeod Health Cheraw (FKA Chesterfield General Hospital),2.0,2.0,NA
